iteracion,subset,f1_score
59,"['Submitting_to_email', 'SSLfinal_State', 'Domain_registeration_length', 'popUpWidnow', 'SFH']",0.8866995073891626
321,"['DNSRecord', 'web_traffic', 'SSLfinal_State', 'on_mouseover', 'HTTPS_token']",0.8864864864864865
492,"['having_At_Symbol', 'DNSRecord', 'Favicon', 'SSLfinal_State', 'URL_Length']",0.8863748155435317
777,"['DNSRecord', 'on_mouseover', 'Favicon', 'web_traffic', 'SSLfinal_State']",0.8862629246676514
471,"['Links_in_tags', 'SSLfinal_State', 'Abnormal_URL', 'Favicon', 'web_traffic']",0.8860510805500982
47,"['Favicon', 'SSLfinal_State', 'URL_Length', 'Links_pointing_to_page', 'Redirect']",0.8860510805500982
659,"['Iframe', 'SSLfinal_State', 'URL_Length', 'popUpWidnow', 'having_At_Symbol']",0.8859390363815143
414,"['Abnormal_URL', 'Iframe', 'SSLfinal_State', 'Submitting_to_email', 'Page_Rank']",0.8858267716535433
213,"['SFH', 'Abnormal_URL', 'DNSRecord', 'SSLfinal_State', 'Iframe']",0.8858267716535433
205,"['Google_Index', 'SSLfinal_State', 'Page_Rank', 'Statistical_report', 'Shortining_Service']",0.8853754940711462
54,"['Links_pointing_to_page', 'Submitting_to_email', 'Links_in_tags', 'having_At_Symbol', 'SSLfinal_State']",0.8850687622789783
963,"['SSLfinal_State', 'Links_in_tags', 'HTTPS_token', 'Redirect', 'SFH']",0.8849557522123894
163,"['SSLfinal_State', 'Domain_registeration_length', 'Links_in_tags', 'Shortining_Service', 'Iframe']",0.8849557522123894
631,"['SSLfinal_State', 'URL_Length', 'popUpWidnow', 'Links_pointing_to_page', 'Submitting_to_email']",0.8847474252084355
194,"['Iframe', 'Page_Rank', 'RightClick', 'SSLfinal_State', 'having_At_Symbol']",0.8845577211394303
309,"['Redirect', 'double_slash_redirecting', 'SSLfinal_State', 'Links_in_tags', 'RightClick']",0.8845208845208845
992,"['URL_Length', 'Page_Rank', 'DNSRecord', 'SSLfinal_State', 'double_slash_redirecting']",0.884313725490196
667,"['Page_Rank', 'having_Sub_Domain', 'DNSRecord', 'SSLfinal_State', 'popUpWidnow']",0.884313725490196
569,"['RightClick', 'Favicon', 'SFH', 'SSLfinal_State', 'web_traffic']",0.8842523596621957
7,"['SSLfinal_State', 'Links_in_tags', 'Redirect', 'Domain_registeration_length', 'web_traffic']",0.8842523596621957
734,"['SSLfinal_State', 'Request_URL', 'Redirect', 'Page_Rank', 'SFH']",0.8840864440078585
185,"['RightClick', 'URL_Length', 'DNSRecord', 'having_IP_Address', 'SSLfinal_State']",0.8838804507594317
606,"['DNSRecord', 'Redirect', 'SSLfinal_State', 'age_of_domain', 'URL_Length']",0.8838804507594317
857,"['web_traffic', 'DNSRecord', 'SSLfinal_State', 'Favicon', 'URL_Length']",0.8838804507594317
990,"['Links_in_tags', 'Abnormal_URL', 'age_of_domain', 'SSLfinal_State', 'having_At_Symbol']",0.8836524300441826
695,"['Links_pointing_to_page', 'having_IP_Address', 'SSLfinal_State', 'having_Sub_Domain', 'Shortining_Service']",0.8834476003917727
965,"['DNSRecord', 'web_traffic', 'SSLfinal_State', 'double_slash_redirecting', 'having_IP_Address']",0.8834476003917727
355,"['URL_Length', 'web_traffic', 'port', 'SSLfinal_State', 'double_slash_redirecting']",0.8834476003917727
286,"['port', 'Google_Index', 'having_Sub_Domain', 'Iframe', 'SSLfinal_State']",0.8831168831168831
877,"['Page_Rank', 'SSLfinal_State', 'DNSRecord', 'popUpWidnow', 'Request_URL']",0.8830151737640725
469,"['HTTPS_token', 'popUpWidnow', 'age_of_domain', 'SSLfinal_State', 'Links_in_tags']",0.8823529411764706
864,"['DNSRecord', 'SSLfinal_State', 'Favicon', 'Google_Index', 'URL_Length']",0.8821218074656189
271,"['having_IP_Address', 'RightClick', 'on_mouseover', 'web_traffic', 'SSLfinal_State']",0.8818586258032625
609,"['double_slash_redirecting', 'Page_Rank', 'popUpWidnow', 'SSLfinal_State', 'URL_Length']",0.8812896922325354
346,"['Iframe', 'Abnormal_URL', 'URL_of_Anchor', 'Redirect', 'age_of_domain']",0.8809849521203831
315,"['Request_URL', 'Google_Index', 'SFH', 'having_At_Symbol', 'SSLfinal_State']",0.8809643395278755
25,"['DNSRecord', 'URL_Length', 'SSLfinal_State', 'Page_Rank', 'web_traffic']",0.880859375
920,"['web_traffic', 'SSLfinal_State', 'SFH', 'Request_URL', 'having_At_Symbol']",0.8807881773399014
935,"['age_of_domain', 'Google_Index', 'SSLfinal_State', 'URL_Length', 'Shortining_Service']",0.8804294777940459
215,"['having_IP_Address', 'Shortining_Service', 'Favicon', 'SSLfinal_State', 'Request_URL']",0.8804294777940459
951,"['Google_Index', 'having_IP_Address', 'SSLfinal_State', 'URL_Length', 'SFH']",0.8803589232303091
83,"['having_At_Symbol', 'Links_pointing_to_page', 'Redirect', 'SSLfinal_State', 'on_mouseover']",0.8803126526624329
66,"['port', 'web_traffic', 'Google_Index', 'having_At_Symbol', 'SSLfinal_State']",0.8802816901408451
16,"['Iframe', 'Shortining_Service', 'URL_Length', 'popUpWidnow', 'SSLfinal_State']",0.8795709410043882
338,"['RightClick', 'HTTPS_token', 'having_At_Symbol', 'popUpWidnow', 'SSLfinal_State']",0.87943971985993
481,"['Shortining_Service', 'Statistical_report', 'SSLfinal_State', 'Page_Rank', 'Links_in_tags']",0.8793356130923302
206,"['Domain_registeration_length', 'Links_pointing_to_page', 'Links_in_tags', 'SSLfinal_State', 'DNSRecord']",0.8791423001949318
277,"['SFH', 'SSLfinal_State', 'Links_in_tags', 'Abnormal_URL', 'double_slash_redirecting']",0.8790243902439024
108,"['URL_of_Anchor', 'double_slash_redirecting', 'URL_Length', 'Favicon', 'HTTPS_token']",0.8788150807899462
197,"['HTTPS_token', 'Abnormal_URL', 'URL_of_Anchor', 'popUpWidnow', 'Shortining_Service']",0.8788150807899462
680,"['URL_Length', 'URL_of_Anchor', 'HTTPS_token', 'Iframe', 'Shortining_Service']",0.8788150807899462
480,"['Links_pointing_to_page', 'Submitting_to_email', 'double_slash_redirecting', 'Page_Rank', 'URL_of_Anchor']",0.8788150807899462
135,"['Links_pointing_to_page', 'Favicon', 'Submitting_to_email', 'popUpWidnow', 'URL_of_Anchor']",0.8788150807899462
688,"['Request_URL', 'Submitting_to_email', 'double_slash_redirecting', 'age_of_domain', 'SSLfinal_State']",0.8787140769605456
820,"['Redirect', 'SSLfinal_State', 'Links_in_tags', 'HTTPS_token', 'Request_URL']",0.8787140769605456
753,"['HTTPS_token', 'Request_URL', 'Links_in_tags', 'Redirect', 'SSLfinal_State']",0.8787140769605456
410,"['SSLfinal_State', 'Request_URL', 'on_mouseover', 'URL_Length', 'having_IP_Address']",0.878286270691334
698,"['URL_Length', 'Request_URL', 'Links_in_tags', 'SSLfinal_State', 'Abnormal_URL']",0.878286270691334
976,"['Redirect', 'URL_Length', 'URL_of_Anchor', 'popUpWidnow', 'double_slash_redirecting']",0.8780926675663517
924,"['Redirect', 'URL_of_Anchor', 'HTTPS_token', 'Abnormal_URL', 'popUpWidnow']",0.8780926675663517
583,"['Request_URL', 'Submitting_to_email', 'Links_in_tags', 'SSLfinal_State', 'having_Sub_Domain']",0.8778588807785888
57,"['Iframe', 'RightClick', 'URL_Length', 'SSLfinal_State', 'Shortining_Service']",0.8778588807785888
461,"['DNSRecord', 'SFH', 'having_Sub_Domain', 'SSLfinal_State', 'double_slash_redirecting']",0.8778588807785888
879,"['RightClick', 'URL_of_Anchor', 'Request_URL', 'Links_in_tags', 'Shortining_Service']",0.87776708373436
158,"['Page_Rank', 'age_of_domain', 'Links_pointing_to_page', 'Submitting_to_email', 'URL_of_Anchor']",0.8777173913043478
973,"['URL_of_Anchor', 'Iframe', 'Links_pointing_to_page', 'HTTPS_token', 'Links_in_tags']",0.8776978417266187
691,"['Page_Rank', 'SSLfinal_State', 'Links_in_tags', 'HTTPS_token', 'double_slash_redirecting']",0.8776206728425159
577,"['Links_in_tags', 'SSLfinal_State', 'double_slash_redirecting', 'having_At_Symbol', 'URL_Length']",0.8773125608568647
427,"['RightClick', 'Page_Rank', 'double_slash_redirecting', 'SSLfinal_State', 'having_At_Symbol']",0.8771060455896927
576,"['having_At_Symbol', 'port', 'SSLfinal_State', 'Links_in_tags', 'Domain_registeration_length']",0.8770731707317073
367,"['Links_in_tags', 'Submitting_to_email', 'SSLfinal_State', 'on_mouseover', 'URL_Length']",0.8770053475935828
760,"['Submitting_to_email', 'Statistical_report', 'URL_Length', 'SSLfinal_State', 'having_Sub_Domain']",0.8768856447688564
293,"['Links_in_tags', 'having_IP_Address', 'age_of_domain', 'double_slash_redirecting', 'URL_of_Anchor']",0.8766859344894027
154,"['Links_in_tags', 'URL_Length', 'Abnormal_URL', 'SSLfinal_State', 'Statistical_report']",0.8764591439688716
710,"['DNSRecord', 'Abnormal_URL', 'SFH', 'SSLfinal_State', 'Google_Index']",0.8763600395647874
516,"['URL_of_Anchor', 'Links_pointing_to_page', 'Request_URL', 'age_of_domain', 'Links_in_tags']",0.8761625061184533
219,"['Links_in_tags', 'Domain_registeration_length', 'Favicon', 'SSLfinal_State', 'having_At_Symbol']",0.8760330578512396
121,"['Page_Rank', 'web_traffic', 'Google_Index', 'SSLfinal_State', 'having_IP_Address']",0.8754308222550468
979,"['age_of_domain', 'port', 'Links_in_tags', 'Domain_registeration_length', 'SSLfinal_State']",0.8753032508491024
801,"['SSLfinal_State', 'port', 'Request_URL', 'Domain_registeration_length', 'Page_Rank']",0.8744546776539021
132,"['age_of_domain', 'popUpWidnow', 'having_Sub_Domain', 'HTTPS_token', 'URL_of_Anchor']",0.8742911153119093
253,"['on_mouseover', 'Domain_registeration_length', 'having_IP_Address', 'Shortining_Service', 'SSLfinal_State']",0.874031007751938
620,"['SSLfinal_State', 'Domain_registeration_length', 'Abnormal_URL', 'Favicon', 'DNSRecord']",0.8736077481840193
534,"['Request_URL', 'port', 'RightClick', 'Domain_registeration_length', 'SSLfinal_State']",0.8731707317073171
855,"['SFH', 'URL_of_Anchor', 'Iframe', 'Page_Rank', 'Links_in_tags']",0.8726207906295754
921,"['SSLfinal_State', 'SFH', 'RightClick', 'on_mouseover', 'Shortining_Service']",0.8724565756823821
656,"['Domain_registeration_length', 'Request_URL', 'SSLfinal_State', 'Links_in_tags', 'DNSRecord']",0.8719188013533108
130,"['URL_Length', 'Iframe', 'URL_of_Anchor', 'having_IP_Address', 'Submitting_to_email']",0.8717253839205059
723,"['SFH', 'Statistical_report', 'SSLfinal_State', 'Iframe', 'on_mouseover']",0.8716148445336008
308,"['on_mouseover', 'popUpWidnow', 'SSLfinal_State', 'SFH', 'Statistical_report']",0.8716148445336008
140,"['having_IP_Address', 'Favicon', 'having_Sub_Domain', 'URL_of_Anchor', 'web_traffic']",0.8710575139146568
161,"['Domain_registeration_length', 'DNSRecord', 'SSLfinal_State', 'Page_Rank', 'RightClick']",0.870873786407767
35,"['URL_of_Anchor', 'on_mouseover', 'Shortining_Service', 'Request_URL', 'Links_in_tags']",0.8707021791767554
172,"['Google_Index', 'Links_pointing_to_page', 'Page_Rank', 'URL_of_Anchor', 'Abnormal_URL']",0.8699763593380615
119,"['URL_Length', 'Google_Index', 'SFH', 'SSLfinal_State', 'having_Sub_Domain']",0.8697813121272365
835,"['having_Sub_Domain', 'Links_in_tags', 'Redirect', 'URL_of_Anchor', 'Request_URL']",0.8693918245264207
383,"['Shortining_Service', 'Page_Rank', 'URL_of_Anchor', 'having_At_Symbol', 'age_of_domain']",0.8684931506849315
690,"['popUpWidnow', 'age_of_domain', 'Abnormal_URL', 'URL_of_Anchor', 'Request_URL']",0.86810551558753
676,"['Submitting_to_email', 'URL_of_Anchor', 'Links_in_tags', 'Redirect', 'URL_Length']",0.8680297397769516
168,"['having_Sub_Domain', 'Page_Rank', 'URL_of_Anchor', 'Request_URL', 'Links_pointing_to_page']",0.8679245283018868
236,"['Links_in_tags', 'Favicon', 'Google_Index', 'Redirect', 'URL_of_Anchor']",0.8677098150782361
459,"['popUpWidnow', 'URL_of_Anchor', 'Submitting_to_email', 'HTTPS_token', 'having_IP_Address']",0.8676337262012692
949,"['Redirect', 'popUpWidnow', 'age_of_domain', 'having_At_Symbol', 'SSLfinal_State']",0.8675974963890226
386,"['having_At_Symbol', 'URL_of_Anchor', 'HTTPS_token', 'Google_Index', 'popUpWidnow']",0.8672985781990521
903,"['having_At_Symbol', 'Google_Index', 'URL_of_Anchor', 'Iframe', 'double_slash_redirecting']",0.8672985781990521
416,"['Google_Index', 'age_of_domain', 'URL_Length', 'URL_of_Anchor', 'having_IP_Address']",0.8672985781990521
378,"['Google_Index', 'having_Sub_Domain', 'URL_of_Anchor', 'Links_in_tags', 'Links_pointing_to_page']",0.8672219500244978
243,"['Shortining_Service', 'popUpWidnow', 'SSLfinal_State', 'Statistical_report', 'Domain_registeration_length']",0.8667628667628667
706,"['RightClick', 'popUpWidnow', 'URL_of_Anchor', 'Abnormal_URL', 'SFH']",0.8663053297199639
653,"['Page_Rank', 'URL_of_Anchor', 'Submitting_to_email', 'port', 'Shortining_Service']",0.8663003663003663
630,"['having_At_Symbol', 'on_mouseover', 'age_of_domain', 'Redirect', 'SSLfinal_State']",0.865929841422393
742,"['having_IP_Address', 'URL_of_Anchor', 'double_slash_redirecting', 'Page_Rank', 'RightClick']",0.8658481127785357
684,"['RightClick', 'URL_of_Anchor', 'HTTPS_token', 'Links_pointing_to_page', 'Request_URL']",0.8658481127785357
313,"['Redirect', 'Favicon', 'RightClick', 'URL_of_Anchor', 'Iframe']",0.8658481127785357
347,"['age_of_domain', 'double_slash_redirecting', 'Links_pointing_to_page', 'URL_of_Anchor', 'RightClick']",0.8658481127785357
364,"['URL_Length', 'double_slash_redirecting', 'age_of_domain', 'URL_of_Anchor', 'Submitting_to_email']",0.8658088235294118
252,"['URL_Length', 'Links_pointing_to_page', 'URL_of_Anchor', 'age_of_domain', 'port']",0.8657810352725607
746,"['popUpWidnow', 'SFH', 'having_IP_Address', 'Abnormal_URL', 'URL_of_Anchor']",0.8657560056523788
105,"['URL_of_Anchor', 'Abnormal_URL', 'having_IP_Address', 'having_At_Symbol', 'Shortining_Service']",0.8656579550664832
199,"['URL_of_Anchor', 'Page_Rank', 'SFH', 'having_At_Symbol', 'HTTPS_token']",0.8655767484105359
266,"['Abnormal_URL', 'Links_in_tags', 'URL_of_Anchor', 'URL_Length', 'having_Sub_Domain']",0.865520728008089
934,"['RightClick', 'Shortining_Service', 'Favicon', 'Iframe', 'URL_of_Anchor']",0.8654545454545455
137,"['double_slash_redirecting', 'having_Sub_Domain', 'URL_of_Anchor', 'popUpWidnow', 'Request_URL']",0.8653940283896231
792,"['HTTPS_token', 'Domain_registeration_length', 'SSLfinal_State', 'age_of_domain', 'RightClick']",0.8653846153846154
348,"['having_At_Symbol', 'Page_Rank', 'SFH', 'on_mouseover', 'URL_of_Anchor']",0.8652612282309807
164,"['Favicon', 'SSLfinal_State', 'Domain_registeration_length', 'port', 'Links_pointing_to_page']",0.8652278177458034
733,"['URL_of_Anchor', 'Favicon', 'double_slash_redirecting', 'having_Sub_Domain', 'port']",0.8651633686148182
287,"['Redirect', 'Request_URL', 'SSLfinal_State', 'Google_Index', 'DNSRecord']",0.8650754992693619
350,"['Links_in_tags', 'SSLfinal_State', 'Google_Index', 'HTTPS_token', 'having_At_Symbol']",0.865021770682148
999,"['Redirect', 'URL_of_Anchor', 'Page_Rank', 'age_of_domain', 'Request_URL']",0.8650190114068441
796,"['port', 'Links_in_tags', 'URL_of_Anchor', 'Page_Rank', 'Google_Index']",0.8649164677804296
333,"['SSLfinal_State', 'Google_Index', 'popUpWidnow', 'age_of_domain', 'Request_URL']",0.8646800195407914
982,"['URL_of_Anchor', 'having_At_Symbol', 'Abnormal_URL', 'HTTPS_token', 'DNSRecord']",0.864616796695732
578,"['Favicon', 'Request_URL', 'Google_Index', 'on_mouseover', 'URL_of_Anchor']",0.8645038167938931
808,"['RightClick', 'Favicon', 'SSLfinal_State', 'Domain_registeration_length', 'popUpWidnow']",0.8640308582449373
731,"['Google_Index', 'SSLfinal_State', 'age_of_domain', 'double_slash_redirecting', 'having_IP_Address']",0.8637236084452975
63,"['having_At_Symbol', 'popUpWidnow', 'URL_of_Anchor', 'HTTPS_token', 'Links_in_tags']",0.8635737253100597
30,"['double_slash_redirecting', 'SSLfinal_State', 'age_of_domain', 'Abnormal_URL', 'Domain_registeration_length']",0.8635710866443275
261,"['port', 'URL_of_Anchor', 'Iframe', 'SFH', 'Favicon']",0.863302752293578
724,"['Iframe', 'having_Sub_Domain', 'Request_URL', 'Statistical_report', 'SSLfinal_State']",0.8632395732298739
242,"['SSLfinal_State', 'Favicon', 'Iframe', 'Google_Index', 'Links_in_tags']",0.8631781084973595
786,"['having_IP_Address', 'Favicon', 'URL_of_Anchor', 'Request_URL', 'DNSRecord']",0.862934362934363
714,"['SSLfinal_State', 'Domain_registeration_length', 'having_Sub_Domain', 'port', 'RightClick']",0.8628211342704799
84,"['URL_Length', 'on_mouseover', 'Shortining_Service', 'URL_of_Anchor', 'popUpWidnow']",0.862368541380887
418,"['Redirect', 'URL_of_Anchor', 'Request_URL', 'Iframe', 'RightClick']",0.8621484555094514
167,"['URL_of_Anchor', 'port', 'Abnormal_URL', 'Links_in_tags', 'URL_Length']",0.8621323529411765
525,"['HTTPS_token', 'on_mouseover', 'URL_of_Anchor', 'Domain_registeration_length', 'RightClick']",0.8621004566210045
152,"['Google_Index', 'DNSRecord', 'Links_pointing_to_page', 'having_At_Symbol', 'URL_of_Anchor']",0.8620525059665871
474,"['Favicon', 'DNSRecord', 'Request_URL', 'Submitting_to_email', 'URL_of_Anchor']",0.8614657210401891
587,"['having_At_Symbol', 'URL_of_Anchor', 'double_slash_redirecting', 'Links_pointing_to_page', 'Domain_registeration_length']",0.861376673040153
